TimeValue1;TimeValue2;RealPower;UnitOfMeasure
17.05.2014 13:29:11;17.05.2014 13:29:22;86,92503;W
17.05.2014 13:29:22;17.05.2014 13:29:32;87,26406;W
17.05.2014 13:29:32;17.05.2014 13:29:42;87,46576;W
17.05.2014 13:29:42;17.05.2014 13:29:52;87,55589;W
17.05.2014 13:29:52;17.05.2014 13:30:03;86,80272;W
17.05.2014 13:30:03;17.05.2014 13:30:13;87,20183;W
17.05.2014 13:30:13;17.05.2014 13:30:23;87,56447;W
17.05.2014 13:30:23;17.05.2014 13:30:33;86,39073;W
17.05.2014 13:30:33;17.05.2014 13:30:43;87,20827;W
17.05.2014 13:30:43;17.05.2014 13:30:54;87,6224;W
17.05.2014 13:30:54;17.05.2014 13:31:04;85,22558;W
17.05.2014 13:31:04;17.05.2014 13:31:14;85,78348;W
17.05.2014 13:31:14;17.05.2014 13:31:25;88,73391;W
17.05.2014 13:31:25;17.05.2014 13:31:35;87,3692;W
17.05.2014 13:31:35;17.05.2014 13:31:45;86,67612;W
17.05.2014 13:31:45;17.05.2014 13:31:55;85,00886;W
17.05.2014 13:31:55;17.05.2014 13:32:05;85,35647;W
17.05.2014 13:32:05;17.05.2014 13:32:16;82,72147;W
17.05.2014 13:32:16;17.05.2014 13:32:26;83,89521;W
17.05.2014 13:32:26;17.05.2014 13:32:36;86,47013;W
17.05.2014 13:32:36;17.05.2014 13:32:47;84,96594;W
17.05.2014 13:32:47;17.05.2014 13:32:57;84,43594;W
17.05.2014 13:32:57;17.05.2014 13:33:07;82,72147;W
17.05.2014 13:33:07;17.05.2014 13:33:17;83,07552;W
17.05.2014 13:33:17;17.05.2014 13:33:27;82,71503;W
17.05.2014 13:33:27;17.05.2014 13:33:38;82,81159;W
17.05.2014 13:33:38;17.05.2014 13:33:48;83,0884;W
17.05.2014 13:33:48;17.05.2014 13:33:58;83,02617;W
17.05.2014 13:33:58;17.05.2014 13:34:09;81,91252;W
17.05.2014 13:34:09;17.05.2014 13:34:19;82,72576;W
17.05.2014 13:34:19;17.05.2014 13:34:29;83,10127;W
17.05.2014 13:34:29;17.05.2014 13:34:39;81,73871;W
17.05.2014 13:34:39;17.05.2014 13:34:50;82,5026;W
17.05.2014 13:34:50;17.05.2014 13:35:00;83,31585;W
17.05.2014 13:35:00;17.05.2014 13:35:10;81,9211;W
17.05.2014 13:35:10;17.05.2014 13:35:21;79,638;W
17.05.2014 13:35:21;17.05.2014 13:35:31;80,49416;W
17.05.2014 13:35:31;17.05.2014 13:35:41;80,33752;W
17.05.2014 13:35:41;17.05.2014 13:35:51;80,82032;W
17.05.2014 13:35:51;17.05.2014 13:36:01;79,44918;W
17.05.2014 13:36:01;17.05.2014 13:36:12;80,31392;W
17.05.2014 13:36:12;17.05.2014 13:36:22;78,53079;W
17.05.2014 13:36:22;17.05.2014 13:36:32;81,21514;W
17.05.2014 13:36:32;17.05.2014 13:36:43;80,50919;W
17.05.2014 13:36:43;17.05.2014 13:36:53;79,85687;W
17.05.2014 13:36:53;17.05.2014 13:37:03;79,68092;W
17.05.2014 13:37:03;17.05.2014 13:37:13;77,23475;W
17.05.2014 13:37:13;17.05.2014 13:37:23;78,13168;W
17.05.2014 13:37:23;17.05.2014 13:37:34;78,47285;W
17.05.2014 13:37:34;17.05.2014 13:37:44;78,0952;W
17.05.2014 13:37:44;17.05.2014 13:37:54;77,70681;W
17.05.2014 13:37:54;17.05.2014 13:38:05;78,23896;W
17.05.2014 13:38:05;17.05.2014 13:38:15;78,56297;W
17.05.2014 13:38:15;17.05.2014 13:38:25;77,16608;W
17.05.2014 13:38:25;17.05.2014 13:38:35;78,08876;W
17.05.2014 13:38:35;17.05.2014 13:38:46;76,22194;W
17.05.2014 13:38:46;17.05.2014 13:38:56;77,47293;W
17.05.2014 13:38:56;17.05.2014 13:39:06;78,3205;W
17.05.2014 13:39:06;17.05.2014 13:39:17;77,04377;W
17.05.2014 13:39:17;17.05.2014 13:39:27;77,96431;W
17.05.2014 13:39:27;17.05.2014 13:39:37;75,001;W
17.05.2014 13:39:37;17.05.2014 13:39:47;75,80137;W
17.05.2014 13:39:47;17.05.2014 13:39:58;74,15771;W
17.05.2014 13:39:58;17.05.2014 13:40:08;75,10614;W
17.05.2014 13:40:08;17.05.2014 13:40:18;75,70052;W
17.05.2014 13:40:18;17.05.2014 13:40:28;75,11902;W
17.05.2014 13:40:28;17.05.2014 13:40:39;73,82298;W
17.05.2014 13:40:39;17.05.2014 13:40:49;72,78013;W
17.05.2014 13:40:49;17.05.2014 13:40:59;73,68135;W
17.05.2014 13:40:59;17.05.2014 13:41:09;74,05257;W
17.05.2014 13:41:09;17.05.2014 13:41:20;74,14055;W
17.05.2014 13:41:20;17.05.2014 13:41:30;72,52479;W
17.05.2014 13:41:30;17.05.2014 13:41:40;73,65775;W
17.05.2014 13:41:40;17.05.2014 13:41:51;71,84458;W
17.05.2014 13:41:51;17.05.2014 13:42:01;73,53759;W
17.05.2014 13:42:01;17.05.2014 13:42:11;73,14491;W
17.05.2014 13:42:11;17.05.2014 13:42:21;71,73729;W
17.05.2014 13:42:21;17.05.2014 13:42:32;72,65353;W
17.05.2014 13:42:32;17.05.2014 13:42:42;70,4155;W
17.05.2014 13:42:42;17.05.2014 13:42:52;71,51198;W
17.05.2014 13:42:52;17.05.2014 13:43:02;71,84458;W
17.05.2014 13:43:02;17.05.2014 13:43:13;70,8189;W
17.05.2014 13:43:13;17.05.2014 13:43:23;71,62785;W
