TimeValue1;TimeValue2;RealPower;UnitOfMeasure
18.05.2014 13:26:01;18.05.2014 13:26:11;80,08432;W
18.05.2014 13:26:11;18.05.2014 13:26:21;79,69809;W
18.05.2014 13:26:21;18.05.2014 13:26:32;78,15099;W
18.05.2014 13:26:32;18.05.2014 13:26:42;77,99649;W
18.05.2014 13:26:42;18.05.2014 13:26:52;78,59302;W
18.05.2014 13:26:52;18.05.2014 13:27:02;78,50504;W
18.05.2014 13:27:02;18.05.2014 13:27:12;76,473;W
18.05.2014 13:27:12;18.05.2014 13:27:23;78,07374;W
18.05.2014 13:27:23;18.05.2014 13:27:33;78,5265;W
18.05.2014 13:27:33;18.05.2014 13:27:43;78,49217;W
18.05.2014 13:27:43;18.05.2014 13:27:53;76,9515;W
18.05.2014 13:27:53;18.05.2014 13:28:04;78,53508;W
18.05.2014 13:28:04;18.05.2014 13:28:14;78,49431;W
18.05.2014 13:28:14;18.05.2014 13:28:24;76,44939;W
18.05.2014 13:28:24;18.05.2014 13:28:34;78,52006;W
18.05.2014 13:28:34;18.05.2014 13:28:44;78,44496;W
18.05.2014 13:28:44;18.05.2014 13:28:55;78,53937;W
18.05.2014 13:28:55;18.05.2014 13:29:05;77,03948;W
18.05.2014 13:29:05;18.05.2014 13:29:15;78,49217;W
18.05.2014 13:29:15;18.05.2014 13:29:26;78,50719;W
18.05.2014 13:29:26;18.05.2014 13:29:36;76,46227;W
18.05.2014 13:29:36;18.05.2014 13:29:46;76,35069;W
18.05.2014 13:29:46;18.05.2014 13:29:56;76,44939;W
18.05.2014 13:29:56;18.05.2014 13:30:06;77,6124;W
18.05.2014 13:30:06;18.05.2014 13:30:17;76,43652;W
18.05.2014 13:30:17;18.05.2014 13:30:27;77,64029;W
18.05.2014 13:30:27;18.05.2014 13:30:37;78,51148;W
18.05.2014 13:30:37;18.05.2014 13:30:48;75,63829;W
18.05.2014 13:30:48;18.05.2014 13:30:58;77,52013;W
18.05.2014 13:30:58;18.05.2014 13:31:08;77,67248;W
18.05.2014 13:31:08;18.05.2014 13:31:18;77,51369;W
18.05.2014 13:31:18;18.05.2014 13:31:28;76,81847;W
18.05.2014 13:31:28;18.05.2014 13:31:39;77,56734;W
18.05.2014 13:31:39;18.05.2014 13:31:49;76,30134;W
18.05.2014 13:31:49;18.05.2014 13:31:59;74,15342;W
18.05.2014 13:31:59;18.05.2014 13:32:10;76,37858;W
18.05.2014 13:32:10;18.05.2014 13:32:20;74,04399;W
18.05.2014 13:32:20;18.05.2014 13:32:30;74,86153;W
18.05.2014 13:32:30;18.05.2014 13:32:40;74,22638;W
18.05.2014 13:32:40;18.05.2014 13:32:50;75,11043;W
18.05.2014 13:32:50;18.05.2014 13:33:01;75,17695;W
18.05.2014 13:33:01;18.05.2014 13:33:11;74,27144;W
18.05.2014 13:33:11;18.05.2014 13:33:21;74,76282;W
18.05.2014 13:33:21;18.05.2014 13:33:31;75,10614;W
18.05.2014 13:33:31;18.05.2014 13:33:42;75,08898;W
18.05.2014 13:33:42;18.05.2014 13:33:52;73,29297;W
18.05.2014 13:33:52;18.05.2014 13:34:02;75,66619;W
18.05.2014 13:34:02;18.05.2014 13:34:12;74,08905;W
18.05.2014 13:34:12;18.05.2014 13:34:22;71,76948;W
18.05.2014 13:34:22;18.05.2014 13:34:33;73,735;W
18.05.2014 13:34:33;18.05.2014 13:34:43;71,87462;W
18.05.2014 13:34:43;18.05.2014 13:34:53;73,9367;W
18.05.2014 13:34:53;18.05.2014 13:35:04;70,79744;W
18.05.2014 13:35:04;18.05.2014 13:35:14;74,73707;W
18.05.2014 13:35:14;18.05.2014 13:35:24;74,265;W
18.05.2014 13:35:24;18.05.2014 13:35:34;70,94979;W
18.05.2014 13:35:34;18.05.2014 13:35:44;75,12546;W
18.05.2014 13:35:44;18.05.2014 13:35:55;75,1555;W
18.05.2014 13:35:55;18.05.2014 13:36:05;73,04835;W
18.05.2014 13:36:05;18.05.2014 13:36:15;73,77791;W
18.05.2014 13:36:15;18.05.2014 13:36:26;74,46671;W
18.05.2014 13:36:26;18.05.2014 13:36:36;72,98827;W
18.05.2014 13:36:36;18.05.2014 13:36:46;72,58272;W
18.05.2014 13:36:46;18.05.2014 13:36:56;73,39811;W
18.05.2014 13:36:56;18.05.2014 13:37:06;71,99693;W
18.05.2014 13:37:06;18.05.2014 13:37:17;73,37666;W
18.05.2014 13:37:17;18.05.2014 13:37:27;70,54424;W
18.05.2014 13:37:27;18.05.2014 13:37:37;71,86174;W
18.05.2014 13:37:37;18.05.2014 13:37:47;71,77806;W
18.05.2014 13:37:47;18.05.2014 13:37:58;69,65804;W
18.05.2014 13:37:58;18.05.2014 13:38:08;71,90466;W
18.05.2014 13:38:08;18.05.2014 13:38:18;71,83599;W
18.05.2014 13:38:18;18.05.2014 13:38:28;71,41972;W
18.05.2014 13:38:28;18.05.2014 13:38:38;69,67306;W
18.05.2014 13:38:38;18.05.2014 13:38:49;71,90681;W
18.05.2014 13:38:49;18.05.2014 13:38:59;71,91753;W
18.05.2014 13:38:59;18.05.2014 13:39:09;70,99271;W
18.05.2014 13:39:09;18.05.2014 13:39:19;71,28024;W
18.05.2014 13:39:19;18.05.2014 13:39:30;71,89822;W
18.05.2014 13:39:30;18.05.2014 13:39:40;71,86389;W
18.05.2014 13:39:40;18.05.2014 13:39:50;69,5529;W
18.05.2014 13:39:50;18.05.2014 13:40:00;71,94543;W
18.05.2014 13:40:00;18.05.2014 13:40:10;71,95401;W
18.05.2014 13:40:10;18.05.2014 13:40:21;70,91761;W
18.05.2014 13:40:21;18.05.2014 13:40:31;71,34461;W
18.05.2014 13:40:31;18.05.2014 13:40:42;71,96259;W
